Altium Designer Pick and Place Locations
C:\Users\aiden\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for Vixen.csv

========================================================================================================================
File Design Information:

Date:       13/06/24
Time:       15:57
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Center-X(mil)","Center-Y(mil)","Comment","Description","Designator","Footprint","Layer","Rotation"
"2630.000","2932.000","ERJ-3EKF4022V","RES SMD 40.2K OHM 1% 1/10W 0603","R14","FP-ERJ3EK-IPC_C","TopLayer","270"
"2688.000","2929.000","ERJ3EKF1002V","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R15","RESC1609X55X30LL15T15","TopLayer","90"
"3547.000","2846.000","ERJ-6ENF1000V","RES SMD 100 OHM 1% 1/8W 0805","R12","FP-ERJ6EN-MFG","TopLayer","90"
"3848.000","2736.000","CRCW120610M0FKEA","RES Thick Film, 10MO, 1%, 0.25W, 100ppm/°C, 1206","R11","FP-CRCW1206-e3-IPC_B","TopLayer","180"
"3668.386","2869.000","CSD15571Q2","MOSFET N-CH 20V 22A 6SON","Q3","FP-DQK0006C-MFG","TopLayer","0"
"3668.386","2759.409","CSD15571Q2","MOSFET N-CH 20V 22A 6SON","Q2","FP-DQK0006C-MFG","TopLayer","180"
"2716.000","3064.756","TPSM33625FRDNR","No Description Available","U4","RDN0011A-MFG","TopLayer","180"
"3277.000","2559.000","ERJ-6ENF6492V","","R13","RESC2013X70X40LL20T20","TopLayer","0"
"2586.000","3034.000","UMK107AB7105KA-T","Ceramic Capacitor General Use 1uF ±10% 50V X7R 0603","C17","FP-0603-L_1_6_0_15-W_0_8-IPC_C","TopLayer","270"
"2701.000","3232.000","C3216X5R1C476M160AB","Multilayer Ceramic Capacitors 47uF ±20% 16V X5R SMD 1206","C16","FP-C3216-160-0_2-MFG","TopLayer","0"
"2701.000","3320.000","C3216X5R1C476M160AB","Multilayer Ceramic Capacitors 47uF ±20% 16V X5R SMD 1206","C15","FP-C3216-160-0_2-MFG","TopLayer","0"
"2947.000","3115.000","C3216X5R1C476M160AB","Multilayer Ceramic Capacitors 47uF ±20% 16V X5R SMD 1206","C14","FP-C3216-160-0_2-MFG","TopLayer","270"
"2863.000","3115.000","C3216X5R1C476M160AB","Multilayer Ceramic Capacitors 47uF ±20% 16V X5R SMD 1206","C13","FP-C3216-160-0_2-MFG","TopLayer","270"
"1976.000","4106.000","RC0805FR-0710KL","Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R25","RESC2013X60X35NL10T20","TopLayer","270"
"4730.000","4050.000","RC0805FR-0710KL","Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R24","RESC2013X60X35NL10T20","TopLayer","270"
"2900.000","4072.000","RC0805FR-0710KL","Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R23","RESC2013X60X35NL10T20","TopLayer","0"
"5795.000","4106.000","RC0805FR-0710KL","Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R22","RESC2013X60X35NL10T20","TopLayer","270"
"3946.000","4191.000","RC0805FR-0710KL","Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R21","RESC2013X60X35NL10T20","TopLayer","270"
"3026.000","3709.504","RC0805FR-0751K1L","","R20","RESC2013X60X35LL10T20","TopLayer","90"
"6653.000","4103.567","RC0805FR-0710KL","Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R19","RESC2013X60X35NL10T20","TopLayer","270"
"3093.000","3675.504","RC0805FR-0751K1L","","R18","RESC2013X60X35LL10T20","TopLayer","90"
"3160.000","3640.000","RC0805FR-0751K1L","","R17","RESC2013X60X35LL10T20","TopLayer","90"
"3225.000","3605.504","RC0805FR-0751K1L","","R16","RESC2013X60X35LL10T20","TopLayer","90"
"4435.000","3410.000","HV5222PG-G","EL Driver, 32-Segment, PQFP44","*2","QFP80P1390X1390X235-44N","TopLayer","90"
"3570.000","3410.000","HV5222PG-G","EL Driver, 32-Segment, PQFP44","*1","QFP80P1390X1390X235-44N","TopLayer","90"
"3565.000","4381.460","WS2812B-B","Intelligent control LED integrated light source","U11","LED_WS2812B-B","TopLayer","0"
"2510.000","4381.460","WS2812B-B","Intelligent control LED integrated light source","U10","LED_WS2812B-B","TopLayer","0"
"1645.000","4381.460","WS2812B-B","Intelligent control LED integrated light source","U9","LED_WS2812B-B","TopLayer","0"
"4430.000","4381.460","WS2812B-B","Intelligent control LED integrated light source","U8","LED_WS2812B-B","TopLayer","0"
"5450.000","4381.460","WS2812B-B","Intelligent control LED integrated light source","U7","LED_WS2812B-B","TopLayer","0"
"6328.681","4381.460","WS2812B-B","Intelligent control LED integrated light source","U6","LED_WS2812B-B","TopLayer","0"
"1656.063","2970.551","ESP32-S3-WROOM-1-N8R8","<a href="https://pricing.snapeda.com/parts/ESP32S3WROOM1N8R8/Espressif%20Systems/view-part?ref=eda">Check availability</a>","U12","XCVR_ESP32S3WROOM1N8R8","TopLayer","180"
"2135.000","2959.000","147873-1","SWITCH TACTILE SPST-NO 0.05A 24V","SW1","FP-147873-1-MFG","TopLayer","270"
"2159.000","2771.000","ERJ3EKF1002V","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R32","RESC1609X55X30LL15T15","TopLayer","0"
"1120.000","2955.000","TC2030-IDC-NL","CABLE ADAPTER 6 POS","J2","TAG_TC2030-IDC-NL","TopLayer","90"
"2090.000","2645.000","GRM188R60J476ME15D","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 47uF, X5R, 15%, 20%, 6.3V","C24","FP-GRM188-0_2-IPC_B","TopLayer","270"
"2160.000","2645.000","GRM188R60J476ME15D","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 47uF, X5R, 15%, 20%, 6.3V","C23","FP-GRM188-0_2-IPC_B","TopLayer","270"
"1123.110","4886.890","PTH-M3D5X5","Plated Thru-Hole M3 D5X5","*6","PTH-M3D5X5-Footprint-1","TopLayer","0"
"1123.110","2433.110","PTH-M3D5X5","Plated Thru-Hole M3 D5X5","*5","PTH-M3D5X5-Footprint-1","TopLayer","0"
